epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,556.816,0.74158,2.19562,1.125,0.77487,0.75148,0.82105,0.69106,0.55717,1.2736,0.95565,0.000332629,0.000332629,0.000332629
2,1087.34,0.75831,1.56618,1.13129,0.78085,0.73785,0.83857,0.68941,0.62407,1.35237,0.99961,0.000632997,0.000632997,0.000632997
3,1585.82,0.77799,1.41834,1.12363,0.82755,0.75689,0.86592,0.70326,0.65388,1.23497,1.00916,0.000900365,0.000900365,0.000900365
4,2092.66,0.73899,1.3138,1.11523,0.76399,0.7877,0.87083,0.74136,0.57312,1.11599,0.9581,0.0008515,0.0008515,0.0008515
5,2606.18,0.73649,1.21787,1.0953,0.82067,0.82886,0.8865,0.74708,0.59609,0.9745,0.98387,0.000802,0.000802,0.000802
6,3120.75,0.70396,1.10478,1.08195,0.8972,0.84189,0.91637,0.78953,0.55344,0.78856,0.96267,0.0007525,0.0007525,0.0007525
7,3621.35,0.66584,1.0153,1.06753,0.90243,0.84515,0.92638,0.80877,0.51272,0.7238,0.92743,0.000703,0.000703,0.000703
8,4108.26,0.64221,0.95372,1.05732,0.93571,0.86053,0.93992,0.82071,0.51869,0.66838,0.93995,0.0006535,0.0006535,0.0006535
9,4586.81,0.63241,0.91446,1.05211,0.90015,0.86785,0.9386,0.83037,0.48519,0.63277,0.91338,0.000604,0.000604,0.000604
10,5075.49,0.61194,0.86506,1.04088,0.94302,0.87712,0.94486,0.81708,0.51194,0.60667,0.93045,0.0005545,0.0005545,0.0005545
11,5563.82,0.48047,0.71563,0.94358,0.93017,0.86905,0.94479,0.82544,0.49865,0.61549,0.91704,0.000505,0.000505,0.000505
12,5979.56,0.46159,0.62481,0.93686,0.92106,0.87675,0.93922,0.82725,0.48113,0.57032,0.9142,0.0004555,0.0004555,0.0004555
13,6397.75,0.43043,0.57478,0.92404,0.92593,0.90246,0.9558,0.85017,0.46349,0.52102,0.90347,0.000406,0.000406,0.000406
14,6810.69,0.41963,0.51379,0.9058,0.93099,0.90194,0.95146,0.84135,0.46262,0.51683,0.90836,0.0003565,0.0003565,0.0003565
15,7229.43,0.4035,0.48989,0.90129,0.94267,0.88895,0.95489,0.85967,0.4332,0.48946,0.88717,0.000307,0.000307,0.000307
16,7652.98,0.38581,0.46201,0.89684,0.93699,0.88618,0.95146,0.85181,0.42917,0.50353,0.89409,0.0002575,0.0002575,0.0002575
17,8073.25,0.36792,0.43728,0.89268,0.94011,0.92209,0.96501,0.87367,0.41495,0.4328,0.88403,0.000208,0.000208,0.000208
18,8494.59,0.35422,0.38225,0.88281,0.94985,0.90172,0.96128,0.86709,0.40351,0.43166,0.87931,0.0001585,0.0001585,0.0001585
19,8914,0.33875,0.37367,0.87565,0.94298,0.91786,0.96135,0.86889,0.39171,0.41523,0.87696,0.000109,0.000109,0.000109
20,9333.8,0.32714,0.3513,0.86942,0.95574,0.91861,0.96454,0.88062,0.3814,0.39597,0.86946,5.95e-05,5.95e-05,5.95e-05
